Date;Price;Open;High;Low;Vol.;Change %
04/16/2023;2,009.20;2,033.00;2,046.60;1,999.50;20.73K;-1.24%
04/23/2023;2,018.30;2,011.00;2,039.10;2,001.00;52.43K;0.45%
04/30/2023;2,044.20;2,019.10;2,102.20;2,004.80;105.39K;1.28%
5/7/2023;2,039.10;2,044.20;2,075.30;2,025.00;269.23K;-0.25%
05/14/2023;2,000.30;2,033.00;2,046.50;1,973.00;167.19K;-1.90%
05/21/2023;1,963.10;1,998.40;2,006.20;1,954.70;433.81K;-1.86%
05/28/2023;1,989.10;1,980.80;2,020.00;1,970.00;7.30K;1.32%
6/4/2023;1,996.80;1,982.40;2,006.40;1,973.90;6.63K;0.39%
6/11/2023;1,990.70;1,993.80;2,005.10;1,956.00;8.06K;-0.31%
06/18/2023;1,948.90;1,989.40;1,990.80;1,939.10;9.16K;-2.10%
06/25/2023;1,948.50;1,952.80;1,962.00;1,919.60;9.12K;-0.02%
7/2/2023;1,951.60;1,945.40;1,961.50;1,927.60;9.36K;0.16%
7/9/2023;1,983.40;1,949.40;1,987.20;1,937.20;15.26K;1.63%
07/16/2023;1,985.80;1,977.20;2,008.50;1,968.50;18.43K;0.12%
07/23/2023;1,999.90;1,983.20;2,002.00;1,961.40;203.52K;0.71%
07/30/2023;1,976.10;1,997.90;2,010.90;1,954.50;775.13K;-1.19%
8/6/2023;1,946.60;1,977.60;1,981.70;1,942.70;676.59K;-1.49%
08/13/2023;1,916.50;1,945.60;1,948.20;1,914.20;683.81K;-1.55%
08/20/2023;1,939.90;1,918.40;1,951.30;1,913.60;743.62K;1.22%
08/27/2023;1,967.10;1,944.00;1,980.20;1,940.10;726.59K;1.40%
9/3/2023;1,942.70;1,966.70;1,972.60;1,940.00;597.43K;-1.24%
9/10/2023;1,946.20;1,943.30;1,954.60;1,921.70;855.59K;0.18%
09/17/2023;1,945.60;1,945.70;1,968.90;1,933.10;855.94K;-0.03%
09/24/2023;1,885.40;1,944.70;1,946.80;1,881.50;626.09K;-3.09%
10/1/2023;1,864.40;1,883.30;1,883.70;1,842.50;34.12K;-1.11%
10/8/2023;1,961.10;1,880.00;1,965.60;1,876.80;48.13K;5.19%
10/15/2023;2,014.50;1,961.00;2,029.20;1,941.00;43.21K;2.72%
10/22/2023;2,018.70;2,007.80;2,039.70;1,984.80;52.70K;0.21%
10/29/2023;2,019.60;2,034.00;2,037.70;1,998.80;54.91K;0.04%
11/5/2023;1,957.70;2,019.60;2,020.00;1,956.90;239.16K;-3.06%
11/12/2023;2,004.80;1,963.20;2,016.50;1,955.40;148.00K;2.41%
11/19/2023;2,023.50;2,001.20;2,030.00;1,987.30;266.31K;0.93%
11/26/2023;2,109.20;2,023.00;2,115.00;2,022.00;376.45K;4.24%
12/3/2023;2,033.90;2,114.10;2,171.50;2,029.90;54.82K;-3.57%
12/10/2023;2,055.20;2,038.80;2,082.00;2,007.60;41.74K;1.05%
12/17/2023;2,088.80;2,052.90;2,102.30;2,048.90;29.86K;1.63%
12/24/2023;2,091.80;2,085.40;2,118.00;2,084.90;26.72K;0.14%
12/25/2023;2,071.80;2,066.00;2,098.20;2,065.10;443.02K;-0.96%
12/31/2023;2,069.70;2,092.70;2,107.70;2,051.00;66.78K;-0.10%
1/1/2024;2,049.80;2,072.70;2,088.10;2,030.80;724.18K;-0.96%
1/7/2024;2,071.40;2,071.90;2,086.70;2,037.30;289.59K;1.05%
01/14/2024;2,048.60;2,073.20;2,082.20;2,024.30;108.55K;-1.10%
01/21/2024;2,036.10;2,051.40;2,058.50;2,023.30;340.46K;-0.61%
